WKT,Coordinates,Route Name,Route Number,
POINT (121.0361638 14.5694796),14.5694796,121.0361638,Kalentong-P Victorino via P Cruz,136.0
POINT (121.0336505 14.5680858),14.5680858,121.0336505,Kalentong-P Victorino via P Cruz,136.0
POINT (121.0316234 14.5700129),14.5700129,121.0316234,Kalentong-P Victorino via P Cruz,136.0
POINT (121.0296004 14.5718963),14.5718963,121.0296004,Kalentong-P Victorino via P Cruz,136.0
POINT (121.0278641 14.5733813),14.5733813,121.0278641,Kalentong-P Victorino via P Cruz,136.0
POINT (121.0273029 14.5766898),14.5766898,121.0273029,Kalentong-P Victorino via P Cruz,136.0
POINT (121.0279727 14.5790081),14.5790081,121.0279727,Kalentong-P Victorino via P Cruz,136.0
POINT (121.0291158 14.5818649),14.5818649,121.0291158,Kalentong-P Victorino via P Cruz,136.0
POINT (121.0279164 14.583836),14.583836,121.0279164,Kalentong-P Victorino via P Cruz,136.0
POINT (121.0259051 14.5859872),14.5859872,121.0259051,Kalentong-P Victorino via P Cruz,136.0
POINT (121.0232608 14.5896083),14.5896083,121.0232608,Kalentong-P Victorino via P Cruz,136.0
POINT (121.0261553 14.5922513),14.5922513,121.0261553,Kalentong-P Victorino via P Cruz,136.0
POINT (121.0441213 14.5738434),14.5738434,121.0441213,Boni/Pinatubo-Stop & Shop,137.0
POINT (121.0409867 14.5759122),14.5759122,121.0409867,Boni/Pinatubo-Stop & Shop,137.0
POINT (121.0385597 14.5764003),14.5764003,121.0385597,Boni/Pinatubo-Stop & Shop,137.0
POINT (121.0350469 14.5764183),14.5764183,121.0350469,Boni/Pinatubo-Stop & Shop,137.0
POINT (121.0328834 14.5783782),14.5783782,121.0328834,Boni/Pinatubo-Stop & Shop,137.0
POINT (121.0295698 14.5812277),14.5812277,121.0295698,Boni/Pinatubo-Stop & Shop,137.0
POINT (121.0306501 14.5837682),14.5837682,121.0306501,Boni/Pinatubo-Stop & Shop,137.0
POINT (121.0319292 14.5861339),14.5861339,121.0319292,Boni/Pinatubo-Stop & Shop,137.0
POINT (121.0352971 14.5873235),14.5873235,121.0352971,Boni/Pinatubo-Stop & Shop,137.0
POINT (121.035107 14.5896117),14.5896117,121.035107,Boni/Pinatubo-Stop & Shop,137.0
POINT (121.0340258 14.5903907),14.5903907,121.0340258,Boni/Pinatubo-Stop & Shop,137.0
POINT (121.0307336 14.5918832),14.5918832,121.0307336,Boni/Pinatubo-Stop & Shop,137.0
POINT (121.0271376 14.5936466),14.5936466,121.0271376,Boni/Pinatubo-Stop & Shop,137.0
POINT (121.0178057 14.5974451),14.5974451,121.0178057,Boni/Pinatubo-Stop & Shop,137.0
POINT (121.0152165 14.6027274),14.6027274,121.0152165,Boni/Pinatubo-Stop & Shop,137.0
POINT (121.0101596 14.6022604),14.6022604,121.0101596,Boni/Pinatubo-Stop & Shop,137.0
POINT (121.047536 14.5740716),14.5740716,121.047536,Boni/Pinatubo-Stop & Shop,137.0
