WKT,Coordinates,Route Name,Route Number
"POINT (120.976155 14.6110887)",14.6110887, 120.976155,Divisoria-Malinta via Jose Abad Santos,58.0
"POINT (120.9763946 14.6123868)",14.6123868, 120.9763946,Divisoria-Malinta via Jose Abad Santos,58.0
"POINT (120.9767767 14.6140836)",14.6140836, 120.9767767,Divisoria-Malinta via Jose Abad Santos,58.0
"POINT (120.9770645 14.6152913)",14.6152913, 120.9770645,Divisoria-Malinta via Jose Abad Santos,58.0
"POINT (120.9773647 14.6165677)",14.6165677, 120.9773647,Divisoria-Malinta via Jose Abad Santos,58.0
"POINT (120.9668729 14.6019067)",14.6019067, 120.9668729,Divisoria-San Juan,59.0
"POINT (120.9682516 14.6034171)",14.6034171, 120.9682516,Divisoria-San Juan,59.0
"POINT (120.9699498 14.6053222)",14.6053222, 120.9699498,Divisoria-San Juan,59.0
"POINT (120.9715186 14.6060732)",14.6060732, 120.9715186,Divisoria-San Juan,59.0
"POINT (120.9728142 14.6063697)",14.6063697, 120.9728142,Divisoria-San Juan,59.0
"POINT (120.9752639 14.6058515)",14.6058515, 120.9752639,Divisoria-San Juan,59.0
"POINT (120.9766355 14.6053283)",14.6053283, 120.9766355,Divisoria-San Juan,59.0
"POINT (120.9796456 14.6041534)",14.6041534, 120.9796456,Divisoria-San Juan,59.0
"POINT (120.9829789 14.6034878)",14.6034878, 120.9829789,Divisoria-San Juan,59.0
"POINT (120.9839168 14.6033729)",14.6033729, 120.9839168,Divisoria-San Juan,59.0
"POINT (120.9869985 14.6021737)",14.6021737, 120.9869985,Divisoria-San Juan,59.0
"POINT (120.9930599 14.6014619)",14.6014619, 120.9930599,Divisoria-San Juan,59.0
"POINT (120.9948049 14.6008813)",14.6008813, 120.9948049,Divisoria-San Juan,59.0
"POINT (121.0032284 14.6014816)",14.6014816, 121.0032284,Divisoria-San Juan,59.0
"POINT (121.0046936 14.601585)",14.601585, 121.0046936,Divisoria-San Juan,59.0
"POINT (121.0093919 14.601932)",14.601932, 121.0093919,Divisoria-San Juan,59.0
"POINT (121.0109659 14.6021863)",14.6021863, 121.0109659,Divisoria-San Juan,59.0
"POINT (121.0154297 14.6026476)",14.6026476, 121.0154297,Divisoria-San Juan,59.0
"POINT (121.0170575 14.6002116)",14.6002116, 121.0170575,Divisoria-San Juan,59.0
"POINT (121.0199077 14.6011146)",14.6011146, 121.0199077,Divisoria-San Juan,59.0
"POINT (121.0210209 14.6027184)",14.6027184, 121.0210209,Divisoria-San Juan,59.0
"POINT (121.0227635 14.6050556)",14.6050556, 121.0227635,Divisoria-San Juan,59.0
"POINT (121.0235156 14.6060413)",14.6060413, 121.0235156,Divisoria-San Juan,59.0
"POINT (121.0250147 14.6067102)",14.6067102, 121.0250147,Divisoria-San Juan,59.0
"POINT (121.0267528 14.607627)",14.607627, 121.0267528,Divisoria-San Juan,59.0
"POINT (121.0293085 14.6092575)",14.6092575, 121.0293085,Divisoria-San Juan,59.0
"POINT (120.980692 14.5907595)",14.5907595, 120.980692,Munoz-Remedios via Quiapo, L. Guinto,60.0
"POINT (120.9801617 14.5930405)",14.5930405, 120.9801617,Munoz-Remedios via Quiapo, L. Guinto,60.0
"POINT (120.9843722 14.5995193)",14.5995193, 120.9843722,Munoz-Remedios via Quiapo, L. Guinto,60.0
"POINT (120.9874099 14.6051564)",14.6051564, 120.9874099,Munoz-Remedios via Quiapo, L. Guinto,60.0
"POINT (120.9896779 14.6067288)",14.6067288, 120.9896779,Munoz-Remedios via Quiapo, L. Guinto,60.0
"POINT (120.9916078 14.6084665)",14.6084665, 120.9916078,Munoz-Remedios via Quiapo, L. Guinto,60.0
"POINT (120.992684 14.6095268)",14.6095268, 120.992684,Munoz-Remedios via Quiapo, L. Guinto,60.0
"POINT (120.9935545 14.6104004)",14.6104004, 120.9935545,Munoz-Remedios via Quiapo, L. Guinto,60.0
"POINT (120.9954034 14.6120792)",14.6120792, 120.9954034,Munoz-Remedios via Quiapo, L. Guinto,60.0
"POINT (120.9974835 14.6139661)",14.6139661, 120.9974835,Munoz-Remedios via Quiapo, L. Guinto,60.0
"POINT (120.9996355 14.6159156)",14.6159156, 120.9996355,Munoz-Remedios via Quiapo, L. Guinto,60.0
"POINT (121.0013774 14.6174926)",14.6174926, 121.0013774,Munoz-Remedios via Quiapo, L. Guinto,60.0
"POINT (120.9883078 14.5622433)",14.5622433, 120.9883078,Munoz-Vito Cruz via Sta Cruz, Mabini,61.0
"POINT (120.9859803 14.5670107)",14.5670107, 120.9859803,Munoz-Vito Cruz via Sta Cruz, Mabini,61.0
"POINT (120.9847643 14.5699745)",14.5699745, 120.9847643,Munoz-Vito Cruz via Sta Cruz, Mabini,61.0
"POINT (120.9840449 14.5717184)",14.5717184, 120.9840449,Munoz-Vito Cruz via Sta Cruz, Mabini,61.0
"POINT (120.98302486802552 14.574027957620249)",14.574027957620249, 120.98302486802552,Munoz-Vito Cruz via Sta Cruz, Mabini,61.0
"POINT (120.9822182 14.5754548)",14.5754548, 120.9822182,Munoz-Vito Cruz via Sta Cruz, Mabini,61.0
"POINT (120.9812866 14.5775493)",14.5775493, 120.9812866,Munoz-Vito Cruz via Sta Cruz, Mabini,61.0
"POINT (120.9803074 14.5798712)",14.5798712, 120.9803074,Munoz-Vito Cruz via Sta Cruz, Mabini,61.0
"POINT (120.980481 14.5833674)",14.5833674, 120.980481,Munoz-Vito Cruz via Sta Cruz, Mabini,61.0
"POINT (120.9797301 14.5852948)",14.5852948, 120.9797301,Munoz-Vito Cruz via Sta Cruz, Mabini,61.0
"POINT (120.9807151 14.5871278)",14.5871278, 120.9807151,Munoz-Vito Cruz via Sta Cruz, Mabini,61.0
"POINT (120.9809386 14.5899091)",14.5899091, 120.9809386,Munoz-Vito Cruz via Sta Cruz, Mabini,61.0
"POINT (120.9801617 14.5930438)",14.5930438, 120.9801617,Munoz-Vito Cruz via Sta Cruz, Mabini,61.0
"POINT (120.9802607 14.5957081)",14.5957081, 120.9802607,Munoz-Vito Cruz via Sta Cruz, Mabini,61.0
"POINT (120.9813904 14.5990898)",14.5990898, 120.9813904,Munoz-Vito Cruz via Sta Cruz, Mabini,61.0
"POINT (120.9817684 14.6015407)",14.6015407, 120.9817684,Munoz-Vito Cruz via Sta Cruz, Mabini,61.0
