WKT,Coordinates,Route Name,Route Number,,,
POINT (120.97884 14.58034),14.58034,120.97884,Cubao-Vito Cruz via E. Rodriguez, Mabini,41,
POINT (120.98034 14.57726),14.57726,120.98034,Cubao-Vito Cruz via E. Rodriguez, Mabini,41,
POINT (120.98137 14.57516),14.57516,120.98137,Cubao-Vito Cruz via E. Rodriguez, Mabini,41,
POINT (120.98206 14.57369),14.57369,120.98206,Cubao-Vito Cruz via E. Rodriguez, Mabini,41,
POINT (120.98345 14.57087),14.57087,120.98345,Cubao-Vito Cruz via E. Rodriguez, Mabini,41,
POINT (120.98466 14.56838),14.56838,120.98466,Cubao-Vito Cruz via E. Rodriguez, Mabini,41,
POINT (120.98613 14.5653),14.5653,120.98613,Cubao-Vito Cruz via E. Rodriguez, Mabini,41,
POINT (120.9912 14.56302),14.56302,120.9912,Cubao-Vito Cruz via E. Rodriguez, Mabini,41,
POINT (120.99195 14.56163),14.56163,120.99195,Cubao-Vito Cruz via E. Rodriguez, Mabini,41,
POINT (120.98067 14.60028),14.60028,120.98067,Baclaran-Escolta via Jones, L Guinto,42,
POINT (120.98001 14.59927),14.59927,120.98001,Baclaran-Escolta via Jones, L Guinto,42,
POINT (120.97892 14.59377),14.59377,120.97892,Baclaran-Escolta via Jones, L Guinto,42,
POINT (120.98081 14.58968),14.58968,120.98081,Baclaran-Escolta via Jones, L Guinto,42,
POINT (120.98233 14.58644),14.58644,120.98233,Baclaran-Escolta via Jones, L Guinto,42,
POINT (120.98265 14.58586),14.58586,120.98265,Baclaran-Escolta via Jones, L Guinto,42,
POINT (120.98366 14.58411),14.58411,120.98366,Baclaran-Escolta via Jones, L Guinto,42,
POINT (120.98432 14.58295),14.58295,120.98432,Baclaran-Escolta via Jones, L Guinto,42,
POINT (120.9862 14.57962),14.57962,120.9862,Baclaran-Escolta via Jones, L Guinto,42,
POINT (120.98815 14.57625),14.57625,120.98815,Baclaran-Escolta via Jones, L Guinto,42,
POINT (120.98907 14.57462),14.57462,120.98907,Baclaran-Escolta via Jones, L Guinto,42,
POINT (120.99111 14.57096),14.57096,120.99111,Baclaran-Escolta via Jones, L Guinto,42,
POINT (120.99181 14.56966),14.56966,120.99181,Baclaran-Escolta via Jones, L Guinto,42,
POINT (120.99309 14.56683),14.56683,120.99309,Baclaran-Escolta via Jones, L Guinto,42,
POINT (120.99398 14.56501),14.56501,120.99398,Baclaran-Escolta via Jones, L Guinto,42,
POINT (120.9949 14.56296),14.56296,120.9949,Baclaran-Escolta via Jones, L Guinto,42,
POINT (120.99612 14.55839),14.55839,120.99612,Baclaran-Escolta via Jones, L Guinto,42,
POINT (120.99704 14.55441),14.55441,120.99704,Baclaran-Escolta via Jones, L Guinto,42,
POINT (121.0081192 14.6183113),14.6183113,121.0081192,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (121.0050589 14.6180464),14.6180464,121.0050589,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (121.0012077 14.6174993),14.6174993,121.0012077,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9995098 14.6159682),14.6159682,120.9995098,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9973762 14.6140218),14.6140218,120.9973762,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9952877 14.6121426),14.6121426,120.9952877,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9934667 14.6104867),14.6104867,120.9934667,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9925873 14.6096517),14.6096517,120.9925873,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9916198 14.6086469),14.6086469,120.9916198,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9896022 14.6068203),14.6068203,120.9896022,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9881992 14.6056028),14.6056028,120.9881992,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9845573 14.6011344),14.6011344,120.9845573,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9842381 14.599618),14.599618,120.9842381,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9805249 14.5946244),14.5946244,120.9805249,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9789205 14.5937881),14.5937881,120.9789205,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9806763 14.5899259),14.5899259,120.9806763,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9783403 14.5858234),14.5858234,120.9783403,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9788087 14.5804236),14.5804236,120.9788087,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9803642 14.5771515),14.5771515,120.9803642,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9813717 14.5750702),14.5750702,120.9813717,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9834641 14.5707883),14.5707883,120.9834641,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9853524 14.5685486),14.5685486,120.9853524,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9861933 14.5652075),14.5652075,120.9861933,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9883095 14.562241),14.562241,120.9883095,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9894331 14.5600386),14.5600386,120.9894331,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9908684 14.5566319),14.5566319,120.9908684,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9890231 14.6236109),14.6236109,120.9890231,Blumentritt-Libertad (via L Guinto & Quiapo),44,,
POINT (120.989002 14.6217038),14.6217038,120.989002,Blumentritt-Libertad (via L Guinto & Quiapo),44,,
POINT (120.9888964 14.6183893),14.6183893,120.9888964,Blumentritt-Libertad (via L Guinto & Quiapo),44,,
POINT (120.988869 14.6175897),14.6175897,120.988869,Blumentritt-Libertad (via L Guinto & Quiapo),44,,
POINT (120.9870763 14.6125611),14.6125611,120.9870763,Blumentritt-Libertad (via L Guinto & Quiapo),44,,
POINT (120.986248 14.6118269),14.6118269,120.986248,Blumentritt-Libertad (via L Guinto & Quiapo),44,,
POINT (120.9860603 14.6092273),14.6092273,120.9860603,Blumentritt-Libertad (via L Guinto & Quiapo),44,,
POINT (120.9857764 14.6070653),14.6070653,120.9857764,Blumentritt-Libertad (via L Guinto & Quiapo),44,,
POINT (120.9845596 14.6011355),14.6011355,120.9845596,Blumentritt-Libertad (via L Guinto & Quiapo),44,,
POINT (120.984237 14.5996191),14.5996191,120.984237,Blumentritt-Libertad (via L Guinto & Quiapo),44,,
POINT (120.9805257 14.5946241),14.5946241,120.9805257,Blumentritt-Libertad (via L Guinto & Quiapo),44,,
POINT (120.9789194 14.5937878),14.5937878,120.9789194,Blumentritt-Libertad (via L Guinto & Quiapo),44,,
POINT (120.980811 14.5899734),14.5899734,120.980811,Blumentritt-Libertad (via L Guinto & Quiapo),44,,
POINT (120.982703 14.5858373),14.5858373,120.982703,Blumentritt-Libertad (via L Guinto & Quiapo),44,,
POINT (120.9833001 14.5847467),14.5847467,120.9833001,Blumentritt-Libertad (via L Guinto & Quiapo),44,,
POINT (120.984308 14.5829916),14.5829916,120.984308,Blumentritt-Libertad (via L Guinto & Quiapo),44,,
POINT (120.9861724 14.5796645),14.5796645,120.9861724,Blumentritt-Libertad (via L Guinto & Quiapo),44,,
POINT (120.9880651 14.57636),14.57636,120.9880651,Blumentritt-Libertad (via L Guinto & Quiapo),44,,
POINT (120.9890199 14.574683),14.574683,120.9890199,Blumentritt-Libertad (via L Guinto & Quiapo),44,,
POINT (120.9912234 14.5707466),14.5707466,120.9912234,Blumentritt-Libertad (via L Guinto & Quiapo),44,,
POINT (120.9827858 14.6207352),14.6207352,120.9827858,Blumentritt-Vito Cruz LRT (via L Guinto & Sta Cruz),45,,
POINT (120.9827221 14.6183851),14.6183851,120.9827221,Blumentritt-Vito Cruz LRT (via L Guinto & Sta Cruz),45,,
POINT (120.9826684 14.6162258),14.6162258,120.9826684,Blumentritt-Vito Cruz LRT (via L Guinto & Sta Cruz),45,,
POINT (120.9824348 14.6112795),14.6112795,120.9824348,Blumentritt-Vito Cruz LRT (via L Guinto & Sta Cruz),45,,
POINT (120.9823265 14.6099647),14.6099647,120.9823265,Blumentritt-Vito Cruz LRT (via L Guinto & Sta Cruz),45,,
POINT (120.9819799 14.6053547),14.6053547,120.9819799,Blumentritt-Vito Cruz LRT (via L Guinto & Sta Cruz),45,,
POINT (120.9816851 14.6014885),14.6014885,120.9816851,Blumentritt-Vito Cruz LRT (via L Guinto & Sta Cruz),45,,
POINT (120.981316 14.6005209),14.6005209,120.981316,Blumentritt-Vito Cruz LRT (via L Guinto & Sta Cruz),45,,
POINT (120.9800064 14.5993079),14.5993079,120.9800064,Blumentritt-Vito Cruz LRT (via L Guinto & Sta Cruz),45,,
POINT (120.9809373 14.5899143),14.5899143,120.9809373,Blumentritt-Vito Cruz LRT (via L Guinto & Sta Cruz),45,,
POINT (120.9823412 14.5864126),14.5864126,120.9823412,Blumentritt-Vito Cruz LRT (via L Guinto & Sta Cruz),45,,
POINT (120.9827057 14.5858291),14.5858291,120.9827057,Blumentritt-Vito Cruz LRT (via L Guinto & Sta Cruz),45,,
POINT (120.9843066 14.5829909),14.5829909,120.9843066,Blumentritt-Vito Cruz LRT (via L Guinto & Sta Cruz),45,,
POINT (120.9861721 14.5796664),14.5796664,120.9861721,Blumentritt-Vito Cruz LRT (via L Guinto & Sta Cruz),45,,
POINT (120.9880661 14.5763596),14.5763596,120.9880661,Blumentritt-Vito Cruz LRT (via L Guinto & Sta Cruz),45,,
POINT (120.989024 14.5746801),14.5746801,120.989024,Blumentritt-Vito Cruz LRT (via L Guinto & Sta Cruz),45,,
POINT (120.991224 14.5707431),14.5707431,120.991224,Blumentritt-Vito Cruz LRT (via L Guinto & Sta Cruz),45,,
POINT (120.9917364 14.5697852),14.5697852,120.9917364,Blumentritt-Vito Cruz LRT (via L Guinto & Sta Cruz),45,,
POINT (120.9931459 14.5667748),14.5667748,120.9931459,Blumentritt-Vito Cruz LRT (via L Guinto & Sta Cruz),45,,
POINT (120.9939495 14.5650501),14.5650501,120.9939495,Blumentritt-Vito Cruz LRT (via L Guinto & Sta Cruz),45,,
POINT (120.9948953 14.5630558),14.5630558,120.9948953,Blumentritt-Vito Cruz LRT (via L Guinto & Sta Cruz),45,,
POINT (120.9597314 14.6196851),14.6196851,120.9597314,Brgy North Bay Boulevard - Pier South via Road 10,46,,
POINT (120.95996599179193 14.616702288629554),14.616702288629554, 120.95996599179193,Brgy North Bay Boulevard - Pier South via Road 10,46,,
POINT (120.9601124 14.6149005),14.6149005,120.9601124,Brgy North Bay Boulevard - Pier South via Road 10,46,,
POINT (120.96146564512924 14.609451320603167),14.609451320603167, 120.96146564512924,Brgy North Bay Boulevard - Pier South via Road 10,46,,
POINT (120.96294543760608 14.609601551158608),14.609601551158608, 120.96294543760608,Brgy North Bay Boulevard - Pier South via Road 10,46,,
POINT (120.96510450974412 14.609763983766578),14.609763983766578, 120.96510450974412,Brgy North Bay Boulevard - Pier South via Road 10,46,,
POINT (120.96675087998571 14.609925413556969),14.609925413556969, 120.96675087998571,Brgy North Bay Boulevard - Pier South via Road 10,46,,
POINT (120.9676195 14.6091319),14.6091319,120.9676195,Brgy North Bay Boulevard - Pier South via Road 10,46,,
POINT (120.9673666 14.608386),14.608386,120.9673666,Brgy North Bay Boulevard - Pier South via Road 10,46,,
POINT (120.9737589 14.5846507),14.5846507,120.9737589,Divisoria-Pier South,47,,
POINT (120.9726454 14.5863887),14.5863887,120.9726454,Divisoria-Pier South,47,,
POINT (120.9712068 14.5885808),14.5885808,120.9712068,Divisoria-Pier South,47,,
POINT (120.9701616 14.5902605),14.5902605,120.9701616,Divisoria-Pier South,47,,
POINT (120.9709018 14.5911697),14.5911697,120.9709018,Divisoria-Pier South,47,,
POINT (120.9696222 14.5928139),14.5928139,120.9696222,Divisoria-Pier South,47,,
POINT (120.9662785 14.5976178),14.5976178,120.9662785,Divisoria-Pier South,47,,
POINT (121.0061542 14.5690887),14.5690887,121.0061542,L. Guinto - Zobel Roxas via Paco Market,48,,
POINT (121.0039997 14.566991),14.566991,121.0039997,L. Guinto - Zobel Roxas via Paco Market,48,,
POINT (121.0002849 14.5651064),14.5651064,121.0002849,L. Guinto - Zobel Roxas via Paco Market,48,,
POINT (120.9977857 14.5658835),14.5658835,120.9977857,L. Guinto - Zobel Roxas via Paco Market,48,,
POINT (120.9952915 14.5644895),14.5644895,120.9952915,L. Guinto - Zobel Roxas via Paco Market,48,,
POINT (120.9960832 14.5630447),14.5630447,120.9960832,L. Guinto - Zobel Roxas via Paco Market,48,,
POINT (120.968619 14.5887553),14.5887553,120.968619,Pier South-San Andres,49,,
POINT (120.97335424386804 14.584079404027253),14.584079404027253, 120.97335424386804,Pier South-San Andres,49,,
POINT (120.9783348 14.584509),14.584509,120.9783348,Pier South-San Andres,49,,
POINT (120.9803024 14.5834438),14.5834438,120.9803024,Pier South-San Andres,49,,
POINT (120.9788034 14.580423),14.580423,120.9788034,Pier South-San Andres,49,,
POINT (120.9803635 14.5771605),14.5771605,120.9803635,Pier South-San Andres,49,,
