WKT,Coordinates,Route Name,Route Number,,,
POINT (120.9837571 14.5842187),14.5842187,120.9837571,Baclaran-Divisoria via Taft,103,,
POINT (120.9824934 14.5865049),14.5865049,120.9824934,Baclaran-Divisoria via Taft,103,,
POINT (120.9809887 14.589742),14.589742,120.9809887,Baclaran-Divisoria via Taft,103,,
POINT (120.9806682 14.5908512),14.5908512,120.9806682,Baclaran-Divisoria via Taft,103,,
POINT (120.9768527 14.5965231),14.5965231,120.9768527,Baclaran-Divisoria via Taft,103,,
POINT (120.9760334 14.597664),14.597664,120.9760334,Baclaran-Divisoria via Taft,103,,
POINT (120.9749908 14.5995379),14.5995379,120.9749908,Baclaran-Divisoria via Taft,103,,
POINT (120.9734473 14.6008023),14.6008023,120.9734473,Baclaran-Divisoria via Taft,103,,
POINT (120.9723281 14.6023367),14.6023367,120.9723281,Baclaran-Divisoria via Taft,103,,
POINT (120.9710232 14.6043781),14.6043781,120.9710232,Baclaran-Divisoria via Taft,103,,
POINT (120.98067 14.60028),14.60028,120.98067,Baclaran-Escolta via Jones, L Guinto,42,
POINT (120.98001 14.59927),14.59927,120.98001,Baclaran-Escolta via Jones, L Guinto,42,
POINT (120.97892 14.59377),14.59377,120.97892,Baclaran-Escolta via Jones, L Guinto,42,
POINT (120.98081 14.58968),14.58968,120.98081,Baclaran-Escolta via Jones, L Guinto,42,
POINT (120.98233 14.58644),14.58644,120.98233,Baclaran-Escolta via Jones, L Guinto,42,
POINT (120.98265 14.58586),14.58586,120.98265,Baclaran-Escolta via Jones, L Guinto,42,
POINT (120.98366 14.58411),14.58411,120.98366,Baclaran-Escolta via Jones, L Guinto,42,
POINT (120.98432 14.58295),14.58295,120.98432,Baclaran-Escolta via Jones, L Guinto,42,
POINT (120.9862 14.57962),14.57962,120.9862,Baclaran-Escolta via Jones, L Guinto,42,
POINT (120.98815 14.57625),14.57625,120.98815,Baclaran-Escolta via Jones, L Guinto,42,
POINT (120.98907 14.57462),14.57462,120.98907,Baclaran-Escolta via Jones, L Guinto,42,
POINT (120.99111 14.57096),14.57096,120.99111,Baclaran-Escolta via Jones, L Guinto,42,
POINT (120.99181 14.56966),14.56966,120.99181,Baclaran-Escolta via Jones, L Guinto,42,
POINT (120.99309 14.56683),14.56683,120.99309,Baclaran-Escolta via Jones, L Guinto,42,
POINT (120.99398 14.56501),14.56501,120.99398,Baclaran-Escolta via Jones, L Guinto,42,
POINT (120.9949 14.56296),14.56296,120.9949,Baclaran-Escolta via Jones, L Guinto,42,
POINT (120.99612 14.55839),14.55839,120.99612,Baclaran-Escolta via Jones, L Guinto,42,
POINT (120.99704 14.55441),14.55441,120.99704,Baclaran-Escolta via Jones, L Guinto,42,
POINT (120.9880007 14.606095),14.606095,120.9880007,Baclaran-P Campa via L Guinto,77,,
POINT (120.9857672 14.607022),14.607022,120.9857672,Baclaran-P Campa via L Guinto,77,,
POINT (120.9846686 14.6016918),14.6016918,120.9846686,Baclaran-P Campa via L Guinto,77,,
POINT (120.9842636 14.5997555),14.5997555,120.9842636,Baclaran-P Campa via L Guinto,77,,
POINT (120.9805269 14.5946295),14.5946295,120.9805269,Baclaran-P Campa via L Guinto,77,,
POINT (120.980161 14.5930606),14.5930606,120.980161,Baclaran-P Campa via L Guinto,77,,
POINT (120.9939478 14.5650423),14.5650423,120.9939478,Baclaran-P Campa via L Guinto,77,,
POINT (120.9823425 14.5863972),14.5863972,120.9823425,Baclaran-P Campa via L Guinto,77,,
POINT (120.9826996 14.5858391),14.5858391,120.9826996,Baclaran-P Campa via L Guinto,77,,
POINT (120.9832921 14.5847237),14.5847237,120.9832921,Baclaran-P Campa via L Guinto,77,,
POINT (120.9842597 14.5830374),14.5830374,120.9842597,Baclaran-P Campa via L Guinto,77,,
POINT (120.98621 14.57957),14.57957,120.98621,Baclaran-P Campa via L Guinto,77,,
POINT (120.9880446 14.5763483),14.5763483,120.9880446,Baclaran-P Campa via L Guinto,77,,
POINT (120.9890924 14.5745318),14.5745318,120.9890924,Baclaran-P Campa via L Guinto,77,,
POINT (120.9910718 14.5709806),14.5709806,120.9910718,Baclaran-P Campa via L Guinto,77,,
POINT (120.9918134 14.5696054),14.5696054,120.9918134,Baclaran-P Campa via L Guinto,77,,
POINT (120.9931076 14.5668277),14.5668277,120.9931076,Baclaran-P Campa via L Guinto,77,,
POINT (120.9939478 14.5650423),14.5650423,120.9939478,Baclaran-P Campa via L Guinto,77,,
POINT (120.9949053 14.5630486),14.5630486,120.9949053,Baclaran-P Campa via L Guinto,77,,
POINT (120.9961627 14.5582759),14.5582759,120.9961627,Baclaran-P Campa via L Guinto,77,,
POINT (121.0081192 14.6183113),14.6183113,121.0081192,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (121.0050589 14.6180464),14.6180464,121.0050589,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (121.0012077 14.6174993),14.6174993,121.0012077,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9995098 14.6159682),14.6159682,120.9995098,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9973762 14.6140218),14.6140218,120.9973762,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9952877 14.6121426),14.6121426,120.9952877,Baclaran-Quezon Insitute (via Mabini),43,,
