WKT,Longitude,Latitude,Route Name,Route Number
POINT (121.053012519708 14.6318674197085),121.0530125,14.63186742,Pier South–Project 2&3 via E. Rodriguez,96
POINT (121.055250019708 14.6325161197085),121.05525,14.63251612,Pier South–Project 2&3 via E. Rodriguez,96
POINT (121.057793919708 14.6319471197085),121.0577939,14.63194712,Pier South–Project 2&3 via E. Rodriguez,96
POINT (121.059716769708 14.6300720197085),121.0597168,14.63007202,Pier South–Project 2&3 via E. Rodriguez,96
POINT (121.059726619708 14.6294633197085),121.0597266,14.62946332,Pier South–Project 2&3 via E. Rodriguez,96
POINT (121.060520319708 14.6281924197085),121.0605203,14.62819242,Pier South–Project 2&3 via E. Rodriguez,96
POINT (121.063100669708 14.6272763197085),121.0631007,14.62727632,Pier South–Project 2&3 via E. Rodriguez,96
POINT (121.0628914 14.628192),121.0628914,14.628192,Pier South–Project 2&3 via E. Rodriguez,96
POINT (120.968763919708 14.5889600197085),120.9687639,14.58896002,Pier South–Project 4 via Espana,97
POINT (120.966838 14.5870989),120.966838,14.5870989,Pier South–Project 4 via Espana,97
POINT (120.9679136 14.5856892),120.9679136,14.5856892,Pier South–Project 4 via Espana,97
POINT (120.968562227672 14.5888084366299),120.9685622,14.58880844,Pier South–Project 4 via Espana,97
POINT (120.9750843 14.5826472),120.9750843,14.5826472,Pier South–Project 4 via Espana,97
POINT (120.9750843 14.5826472),120.9750843,14.5826472,Pier South–Project 4 via Espana,97
POINT (120.985831089658 14.5802726007066),120.9858311,14.5802726,Pier South–Project 4 via Espana,97
POINT (120.9750843 14.5826472),120.9750843,14.5826472,Pier South–Project 4 via Espana,97
POINT (120.9833302 14.5972897),120.9833302,14.5972897,Pier South–Project 4 via Espana,97
POINT (120.986690419708 14.6039105197085),120.9866904,14.60391052,Pier South–Project 4 via Espana,97
POINT (120.988143669708 14.6088467197085),120.9881437,14.60884672,Pier South–Project 4 via Espana,97
POINT (120.988143669708 14.6088467197085),120.9881437,14.60884672,Pier South–Project 4 via Espana,97
POINT (120.991359019708 14.6080435197085),120.991359,14.60804352,Pier South–Project 4 via Espana,97
POINT (120.991986119708 14.6098287197085),120.9919861,14.60982872,Pier South–Project 4 via Espana,97
POINT (120.9880394 14.6052594999999),120.9880394,14.6052595,Pier South–Project 4 via Espana,97
POINT (120.9880394 14.6052594999999),120.9880394,14.6052595,Pier South–Project 4 via Espana,97
POINT (120.997235619708 14.6135330197085),120.9972356,14.61353302,Pier South–Project 4 via Espana,97
POINT (120.9880394 14.6052594999999),120.9880394,14.6052595,Pier South–Project 4 via Espana,97
POINT (120.9957848 14.6144637999999),120.9957848,14.6144638,Pier South–Project 4 via Espana,97
POINT (121.002505669708 14.6135162197085),121.0025057,14.61351622,Pier South–Project 4 via Espana,97
POINT (121.011494519708 14.6163908697085),121.0114945,14.61639087,Pier South–Project 4 via Espana,97
POINT (121.016969094683 14.6132600348442),121.0169691,14.61326003,Pier South–Project 4 via Espana,97
POINT (121.016209769708 14.6186711197084),121.0162098,14.61867112,Pier South–Project 4 via Espana,97
POINT (121.041521619708 14.6229412197085),121.0415216,14.62294122,Pier South–Project 4 via Espana,97
POINT (121.020631569708 14.6199977697085),121.0206316,14.61999777,Pier South–Project 4 via Espana,97
