WKT,Coordinates,Route Name,Route Number
"POINT (120.98427 14.5997789)",14.5997789, 120.98427,Divisoria-Quiapo via Evangelista,177.0
"POINT (120.9834424 14.600148)",14.600148, 120.9834424,Divisoria-Quiapo via Evangelista,177.0
"POINT (120.9835762 14.6020214)",14.6020214, 120.9835762,Divisoria-Quiapo via Evangelista,177.0
"POINT (120.98287 14.6036601)",14.6036601, 120.98287,Divisoria-Quiapo via Evangelista,177.0
"POINT (120.9795403 14.6043364)",14.6043364, 120.9795403,Divisoria-Quiapo via Evangelista,177.0
"POINT (120.9768803 14.6053695)",14.6053695, 120.9768803,Divisoria-Quiapo via Evangelista,177.0
"POINT (120.9750548 14.6060659)",14.6060659, 120.9750548,Divisoria-Quiapo via Evangelista,177.0
"POINT (120.9743562 14.6063297)",14.6063297, 120.9743562,Divisoria-Quiapo via Evangelista,177.0
"POINT (120.96234 14.6266345)",14.6266345, 120.96234,Divisoria-Velasquez,178.0
"POINT (120.9629922 14.6247266)",14.6247266, 120.9629922,Divisoria-Velasquez,178.0
"POINT (120.9634459 14.6232167)",14.6232167, 120.9634459,Divisoria-Velasquez,178.0
"POINT (120.9651889 14.6214717)",14.6214717, 120.9651889,Divisoria-Velasquez,178.0
"POINT (120.9653394 14.6208098)",14.6208098, 120.9653394,Divisoria-Velasquez,178.0
"POINT (120.965514 14.6199636)",14.6199636, 120.965514,Divisoria-Velasquez,178.0
"POINT (120.9657436 14.6187199)",14.6187199, 120.9657436,Divisoria-Velasquez,178.0
"POINT (120.9672495 14.6182595)",14.6182595, 120.9672495,Divisoria-Velasquez,178.0
"POINT (120.9690632 14.6177031)",14.6177031, 120.9690632,Divisoria-Velasquez,178.0
"POINT (120.9689007 14.6128887)",14.6128887, 120.9689007,Divisoria-Velasquez,178.0
"POINT (120.9681168 14.6106175)",14.6106175, 120.9681168,Divisoria-Velasquez,178.0
"POINT (120.9675888 14.6090543)",14.6090543, 120.9675888,Divisoria-Velasquez,178.0
"POINT (120.9673629 14.6083747)",14.6083747, 120.9673629,Divisoria-Velasquez,178.0
"POINT (120.9674609 14.60703)",14.60703, 120.9674609,Divisoria-Velasquez,178.0
"POINT (120.9691969 14.6081475)",14.6081475, 120.9691969,Divisoria-Velasquez,178.0
"POINT (120.9695552 14.6120344)",14.6120344, 120.9695552,Herbosa/Pritil-P Guevarra via Tayuman,179.0
"POINT (120.9702184 14.6155438)",14.6155438, 120.9702184,Herbosa/Pritil-P Guevarra via Tayuman,179.0
"POINT (120.9706879 14.6176989)",14.6176989, 120.9706879,Herbosa/Pritil-P Guevarra via Tayuman,179.0
"POINT (120.9737611 14.6173605)",14.6173605, 120.9737611,Herbosa/Pritil-P Guevarra via Tayuman,179.0
"POINT (120.976969 14.6168015)",14.6168015, 120.976969,Herbosa/Pritil-P Guevarra via Tayuman,179.0
"POINT (120.9791296 14.6165738)",14.6165738, 120.9791296,Herbosa/Pritil-P Guevarra via Tayuman,179.0
"POINT (120.9816304 14.6167183)",14.6167183, 120.9816304,Herbosa/Pritil-P Guevarra via Tayuman,179.0
"POINT (120.9713652 14.6060434)",14.6060434, 120.9713652,Divisoria-Sta Cruz via San Nicholas,180.0
"POINT (120.9728909 14.6063898)",14.6063898, 120.9728909,Divisoria-Sta Cruz via San Nicholas,180.0
"POINT (120.973905 14.6063747)",14.6063747, 120.973905,Divisoria-Sta Cruz via San Nicholas,180.0
