WKT,Coordinates,Route Name,Route Number,,
POINT (121.02325 14.55235),14.55235,121.02325,Ayala-Guadalupe (Ibabaw) via JP Rizal,145,
POINT (121.02302 14.55567),14.55567,121.02302,Ayala-Guadalupe (Ibabaw) via JP Rizal,145,
POINT (121.02034 14.55739),14.55739,121.02034,Ayala-Guadalupe (Ibabaw) via JP Rizal,145,
POINT (121.0172 14.55944),14.55944,121.0172,Ayala-Guadalupe (Ibabaw) via JP Rizal,145,
POINT (121.01573 14.5629),14.5629,121.01573,Ayala-Guadalupe (Ibabaw) via JP Rizal,145,
POINT (121.01633 14.56432),14.56432,121.01633,Ayala-Guadalupe (Ibabaw) via JP Rizal,145,
POINT (121.01717 14.56648),14.56648,121.01717,Ayala-Guadalupe (Ibabaw) via JP Rizal,145,
POINT (121.01789 14.56837),14.56837,121.01789,Ayala-Guadalupe (Ibabaw) via JP Rizal,145,
POINT (121.01881 14.57072),14.57072,121.01881,Ayala-Guadalupe (Ibabaw) via JP Rizal,145,
POINT (121.01815 14.57134),14.57134,121.01815,Ayala-Guadalupe (Ibabaw) via JP Rizal,145,
POINT (121.01647 14.56984),14.56984,121.01647,Ayala-Guadalupe (Ibabaw) via JP Rizal,145,
POINT (121.02087 14.55551),14.55551,121.02087,Ayala - Mantrade via Pasong Tamo,146,
POINT (121.0173 14.55115),14.55115,121.0173,Ayala - Mantrade via Pasong Tamo,146,
POINT (121.01282 14.55155),14.55155,121.01282,Ayala - Mantrade via Pasong Tamo,146,
POINT (121.0127 14.5492),14.5492,121.0127,Ayala - Mantrade via Pasong Tamo,146,
POINT (121.0197 14.53864),14.53864,121.0197,Ayala - Mantrade via Pasong Tamo,146,
POINT (121.01662 14.54434),14.54434,121.01662,Ayala - Mantrade via Pasong Tamo,146,
POINT (121.0303 14.54989),14.54989,121.0303,Ayala-Washington,147,
POINT (121.02637 14.55318),14.55318,121.02637,Ayala-Washington,147,
POINT (121.02004 14.55742),14.55742,121.02004,Ayala-Washington,147,
POINT (121.0172 14.55928),14.55928,121.0172,Ayala-Washington,147,
POINT (121.01434 14.561),14.561,121.01434,Ayala-Washington,147,
POINT (121.01198 14.55995),14.55995,121.01198,Ayala-Washington,147,
POINT (121.0024 14.56159),14.56159,121.0024,Dian-Libertad,148,
POINT (121.00351 14.55797),14.55797,121.00351,Dian-Libertad,148,
POINT (121.00408 14.55577),14.55577,121.00408,Dian-Libertad,148,
POINT (121.00525 14.55206),14.55206,121.00525,Dian-Libertad,148,
POINT (121.00721 14.55033),14.55033,121.00721,Dian-Libertad,148,
POINT (120.99388 14.54612),14.54612,120.99388,Evangelista-Libertad,149,
POINT (121.01022 14.55104),14.55104,121.01022,Evangelista-Libertad,149,
POINT (121.01066 14.54901),14.54901,121.01066,Evangelista-Libertad,149,
POINT (121.01102 14.54685),14.54685,121.01102,Evangelista-Libertad,149,
POINT (121.01135 14.5448),14.5448,121.01135,Evangelista-Libertad,149,
POINT (121.01168 14.54278),14.54278,121.01168,Evangelista-Libertad,149,
POINT (121.01197 14.54108),14.54108,121.01197,Evangelista-Libertad,149,
POINT (121.0456 14.56398),14.56398,121.0456,Guadalupe (ABC)-Brgy. Buting E. Rembo via Kalayaan,150,
POINT (121.04576 14.56237),14.56237,121.04576,Guadalupe (ABC)-Brgy. Buting E. Rembo via Kalayaan,150,
POINT (121.0458 14.56179),14.56179,121.0458,Guadalupe (ABC)-Brgy. Buting E. Rembo via Kalayaan,150,
POINT (121.0458 14.55905),14.55905,121.0458,Guadalupe (ABC)-Brgy. Buting E. Rembo via Kalayaan,150,
POINT (121.04761 14.55987),14.55987,121.04761,Guadalupe (ABC)-Brgy. Buting E. Rembo via Kalayaan,150,
POINT (121.04899 14.56108),14.56108,121.04899,Guadalupe (ABC)-Brgy. Buting E. Rembo via Kalayaan,150,
POINT (121.05182 14.56251),14.56251,121.05182,Guadalupe (ABC)-Brgy. Buting E. Rembo via Kalayaan,150,
POINT (121.05432 14.56199),14.56199,121.05432,Guadalupe (ABC)-Brgy. Buting E. Rembo via Kalayaan,150,
